date,time,opponent
4/1/2024,1:20 PM,Rockies at Cubs
4/2/2024,6:40 PM,Rockies at Cubs
4/3/2024,6:40 PM,Rockies at Cubs
4/5/2024,1:20 PM,Dodgers at Cubs
4/6/2024,3:05 PM,Dodgers at Cubs
4/7/2024,1:20 PM,Dodgers at Cubs
4/19/2024,1:20 PM,Marlins at Cubs
4/20/2024,1:20 PM,Marlins at Cubs
4/20/2024,6:40 PM,Marlins at Cubs
4/21/2024,1:20 PM,Marlins at Cubs
4/23/2024,6:40 PM,Astros at Cubs
4/24/2024,6:40 PM,Astros at Cubs
4/25/2024,1:20 PM,Astros at Cubs
5/3/2024,1:20 PM,Brewers at Cubs
5/4/2024,1:20 PM,Brewers at Cubs
5/5/2024,1:20 PM,Brewers at Cubs
5/6/2024,6:40 PM,Padres at Cubs
5/7/2024,6:40 PM,Padres at Cubs
5/8/2024,1:20 PM,Padres at Cubs
5/16/2024,6:40 PM,Pirates at Cubs
5/17/2024,1:20 PM,Pirates at Cubs
5/18/2024,1:20 PM,Pirates at Cubs
5/19/2024,1:20 PM,Pirates at Cubs
5/21/2024,6:40 PM,Braves at Cubs
5/22/2024,6:40 PM,Braves at Cubs
5/23/2024,1:20 PM,Braves at Cubs
5/31/2024,1:20 PM,Reds at Cubs
6/1/2024,6:15 PM,Reds at Cubs
6/2/2024,1:20 PM,Reds at Cubs
6/4/2024,7:05 PM,White Sox at Cubs
6/5/2024,7:05 PM,White Sox at Cubs
6/14/2024,1:20 PM,Cardinals at Cubs
6/15/2024,1:20 PM,Cardinals at Cubs
6/16/2024,12:05 PM,Cardinals at Cubs
6/17/2024,7:05 PM,Giants at Cubs
6/18/2024,7:05 PM,Giants at Cubs
6/19/2024,1:20 PM,Giants at Cubs
6/21/2024,1:20 PM,Mets at Cubs
6/22/2024,1:20 PM,Mets at Cubs
6/23/2024,6:10 PM,Mets at Cubs
7/2/2024,7:05 PM,Phillies at Cubs
7/3/2024,7:05 PM,Phillies at Cubs
7/4/2024,1:20 PM,Phillies at Cubs
7/5/2024,1:20 PM,Angels at Cubs
7/6/2024,1:20 PM,Angels at Cubs
7/7/2024,1:20 PM,Angels at Cubs
7/19/2024,1:20 PM,D-backs at Cubs
7/20/2024,6:15 PM,D-backs at Cubs
7/21/2024,1:20 PM,D-backs at Cubs
7/22/2024,7:05 PM,Brewers at Cubs
7/23/2024,7:05 PM,Brewers at Cubs
7/24/2024,1:20 PM,Brewers at Cubs
8/1/2024,7:05 PM,Cardinals at Cubs
8/2/2024,1:20 PM,Cardinals at Cubs
8/3/2024,1:20 PM,Cardinals at Cubs
8/4/2024,1:20 PM,Cardinals at Cubs
8/5/2024,7:05 PM,Twins at Cubs
8/6/2024,7:05 PM,Twins at Cubs
8/7/2024,1:20 PM,Twins at Cubs
8/16/2024,1:20 PM,Blue Jays at Cubs
8/17/2024,1:20 PM,Blue Jays at Cubs
8/18/2024,1:20 PM,Blue Jays at Cubs
8/20/2024,7:05 PM,Tigers at Cubs
8/21/2024,7:05 PM,Tigers at Cubs
8/22/2024,1:20 PM,Tigers at Cubs
9/2/2024,6:40 PM,Pirates at Cubs
9/3/2024,6:40 PM,Pirates at Cubs
9/4/2024,6:40 PM,Pirates at Cubs
9/6/2024,1:20 PM,Yankees at Cubs
9/7/2024,1:20 PM,Yankees at Cubs
9/8/2024,1:20 PM,Yankees at Cubs
9/16/2024,6:40 PM,Athletics at Cubs
9/17/2024,6:40 PM,Athletics at Cubs
9/18/2024,1:20 PM,Athletics at Cubs
9/19/2024,6:40 PM,Nationals at Cubs
9/20/2024,1:20 PM,Nationals at Cubs
9/21/2024,1:20 PM,Nationals at Cubs
9/22/2024,1:20 PM,Nationals at Cubs
9/27/2024,1:20 PM,Reds at Cubs
9/28/2024,1:20 PM,Reds at Cubs
9/29/2024,2:20 PM,Reds at Cubs
